country,grid,mgcost,tier,metric,value
BFA,leastcost,optimistic,1,existing,4423413.2739
BFA,leastcost,optimistic,2,existing,4423413.2739
BFA,leastcost,optimistic,3,existing,4423413.2739
BFA,leastcost,optimistic,4,existing,4423413.2739
BFA,leastcost,optimistic,5,existing,4423413.2739
BFA,leastcost,pessimistic,1,existing,4423413.2739
BFA,leastcost,pessimistic,2,existing,4423413.2739
BFA,leastcost,pessimistic,3,existing,4423413.2739
BFA,leastcost,pessimistic,4,existing,4423413.2739
BFA,leastcost,pessimistic,5,existing,4423413.2739
BFA,restricted,optimistic,1,existing,4423413.2739
BFA,restricted,optimistic,2,existing,4423413.2739
BFA,restricted,optimistic,3,existing,4423413.2739
BFA,restricted,optimistic,4,existing,4423413.2739
BFA,restricted,optimistic,5,existing,4423413.2739
BFA,restricted,pessimistic,1,existing,4423413.2739
BFA,restricted,pessimistic,2,existing,4423413.2739
BFA,restricted,pessimistic,3,existing,4423413.2739
BFA,restricted,pessimistic,4,existing,4423413.2739
BFA,restricted,pessimistic,5,existing,4423413.2739
BFA,leastcost,optimistic,1,grid_densification,3016114.2565
BFA,leastcost,optimistic,2,grid_densification,3016114.2565
BFA,leastcost,optimistic,3,grid_densification,3016114.2565
BFA,leastcost,optimistic,4,grid_densification,3016114.2565
BFA,leastcost,optimistic,5,grid_densification,3016114.2565
BFA,leastcost,pessimistic,1,grid_densification,3016114.2565
BFA,leastcost,pessimistic,2,grid_densification,3016114.2565
BFA,leastcost,pessimistic,3,grid_densification,3016114.2565
BFA,leastcost,pessimistic,4,grid_densification,3016114.2565
BFA,leastcost,pessimistic,5,grid_densification,3016114.2565
BFA,restricted,optimistic,1,grid_densification,3016114.2565
BFA,restricted,optimistic,2,grid_densification,3016114.2565
BFA,restricted,optimistic,3,grid_densification,3016114.2565
BFA,restricted,optimistic,4,grid_densification,3016114.2565
BFA,restricted,optimistic,5,grid_densification,3016114.2565
BFA,restricted,pessimistic,1,grid_densification,3016114.2565
BFA,restricted,pessimistic,2,grid_densification,3016114.2565
BFA,restricted,pessimistic,3,grid_densification,3016114.2565
BFA,restricted,pessimistic,4,grid_densification,3016114.2565
