country,scenario,multiplier,metric,value
BFA,Baseline (1.0x),1.0,diesel_price_usd_l,0.86
BFA,Baseline (1.0x),1.0,battery_mwh,6201.0
BFA,Baseline (1.0x),1.0,battery_investment_usd_m,847.8
BFA,Baseline (1.0x),1.0,vos_usd_m,1711.6
BFA,Baseline (1.0x),1.0,total_investment_usd_m,5022.8
BFA,Baseline (1.0x),1.0,lcoe_hybrid_usd_kwh,0.204
BFA,Baseline (1.0x),1.0,fuel_exposure_pct,48.1
BFA,Baseline (1.0x),1.0,battery_leverage,2.74
BFA,Baseline (1.0x),1.0,renewable_share_pct,96.0
BFA,Baseline (1.0x),1.0,vos_vs_baseline_pct,0.0
BFA,Baseline (1.0x),1.0,vos_ratio,1.0
BFA,+10% (1.1x),1.1,diesel_price_usd_l,0.95
BFA,+10% (1.1x),1.1,battery_mwh,5555.0
BFA,+10% (1.1x),1.1,battery_investment_usd_m,832.9
BFA,+10% (1.1x),1.1,vos_usd_m,1816.2
BFA,+10% (1.1x),1.1,total_investment_usd_m,5012.2
BFA,+10% (1.1x),1.1,lcoe_hybrid_usd_kwh,0.207
BFA,+10% (1.1x),1.1,fuel_exposure_pct,49.1
BFA,+10% (1.1x),1.1,battery_leverage,2.69
BFA,+10% (1.1x),1.1,renewable_share_pct,91.0
BFA,+10% (1.1x),1.1,vos_vs_baseline_pct,6.1
BFA,+10% (1.1x),1.1,vos_ratio,1.06
BFA,+25% (1.25x),1.25,diesel_price_usd_l,1.08
BFA,+25% (1.25x),1.25,battery_mwh,5949.0
BFA,+25% (1.25x),1.25,battery_investment_usd_m,882.1
BFA,+25% (1.25x),1.25,vos_usd_m,2116.7
BFA,+25% (1.25x),1.25,total_investment_usd_m,5060.1
BFA,+25% (1.25x),1.25,lcoe_hybrid_usd_kwh,0.21
BFA,+25% (1.25x),1.25,fuel_exposure_pct,55.1
BFA,+25% (1.25x),1.25,battery_leverage,3.03
BFA,+25% (1.25x),1.25,renewable_share_pct,95.9
BFA,+25% (1.25x),1.25,vos_vs_baseline_pct,23.7
BFA,+25% (1.25x),1.25,vos_ratio,1.24
BFA,+50% (1.5x),1.5,diesel_price_usd_l,1.29
BFA,+50% (1.5x),1.5,battery_mwh,5835.0
BFA,+50% (1.5x),1.5,battery_investment_usd_m,901.5
BFA,+50% (1.5x),1.5,vos_usd_m,2688.6
BFA,+50% (1.5x),1.5,total_investment_usd_m,5089.2
BFA,+50% (1.5x),1.5,lcoe_hybrid_usd_kwh,0.216
BFA,+50% (1.5x),1.5,fuel_exposure_pct,68.5
BFA,+50% (1.5x),1.5,battery_leverage,3.71
BFA,+50% (1.5x),1.5,renewable_share_pct,96.0
BFA,+50% (1.5x),1.5,vos_vs_baseline_pct,57.1
BFA,+50% (1.5x),1.5,vos_ratio,1.57
BFA,+75% (1.75x),1.75,diesel_price_usd_l,1.51
BFA,+75% (1.75x),1.75,battery_mwh,6130.0
BFA,+75% (1.75x),1.75,battery_investment_usd_m,877.5
BFA,+75% (1.75x),1.75,vos_usd_m,3209.5
BFA,+75% (1.75x),1.75,total_investment_usd_m,5079.7
BFA,+75% (1.75x),1.75,lcoe_hybrid_usd_kwh,0.222
BFA,+75% (1.75x),1.75,fuel_exposure_pct,77.5
BFA,+75% (1.75x),1.75,battery_leverage,4.36
BFA,+75% (1.75x),1.75,renewable_share_pct,97.1
BFA,+75% (1.75x),1.75,vos_vs_baseline_pct,87.5
BFA,+75% (1.75x),1.75,vos_ratio,1.88
BFA,+100% (2.0x),2.0,diesel_price_usd_l,1.72
BFA,+100% (2.0x),2.0,battery_mwh,6547.0
BFA,+100% (2.0x),2.0,battery_investment_usd_m,835.1
BFA,+100% (2.0x),2.0,vos_usd_m,3820.6
BFA,+100% (2.0x),2.0,total_investment_usd_m,5035.9
BFA,+100% (2.0x),2.0,lcoe_hybrid_usd_kwh,0.228
BFA,+100% (2.0x),2.0,fuel_exposure_pct,87.3
BFA,+100% (2.0x),2.0,battery_leverage,5.1
BFA,+100% (2.0x),2.0,renewable_share_pct,96.9
BFA,+100% (2.0x),2.0,vos_vs_baseline_pct,123.2
BFA,+100% (2.0x),2.0,vos_ratio,2.23
MLI,Baseline (1.0x),1.0,diesel_price_usd_l,0.98
MLI,Baseline (1.0x),1.0,battery_mwh,1176.0
MLI,Baseline (1.0x),1.0,battery_investment_usd_m,174.4
MLI,Baseline (1.0x),1.0,vos_usd_m,375.4
MLI,Baseline (1.0x),1.0,total_investment_usd_m,2071.5
MLI,Baseline (1.0x),1.0,lcoe_hybrid_usd_kwh,0.211
MLI,Baseline (1.0x),1.0,fuel_exposure_pct,25.4
MLI,Baseline (1.0x),1.0,battery_leverage,2.85
MLI,Baseline (1.0x),1.0,renewable_share_pct,94.4
MLI,Baseline (1.0x),1.0,vos_vs_baseline_pct,0.0
MLI,Baseline (1.0x),1.0,vos_ratio,1.0
MLI,+10% (1.1x),1.1,diesel_price_usd_l,1.08
MLI,+10% (1.1x),1.1,battery_mwh,1198.0
MLI,+10% (1.1x),1.1,battery_investment_usd_m,174.7
MLI,+10% (1.1x),1.1,vos_usd_m,434.2
MLI,+10% (1.1x),1.1,total_investment_usd_m,2074.3
MLI,+10% (1.1x),1.1,lcoe_hybrid_usd_kwh,0.213
MLI,+10% (1.1x),1.1,fuel_exposure_pct,28.1
MLI,+10% (1.1x),1.1,battery_leverage,3.17
MLI,+10% (1.1x),1.1,renewable_share_pct,95.1
MLI,+10% (1.1x),1.1,vos_vs_baseline_pct,15.7
MLI,+10% (1.1x),1.1,vos_ratio,1.16
MLI,+25% (1.25x),1.25,diesel_price_usd_l,1.23
